                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1384,                0.55518,                 1.0909,                0.87588,                0.81737,                0.88191,                 0.4911,                 1.4203,                0.64458,                 1.2138,               0.007756,               0.007756,               0.007756
                     37,                 1.1249,                0.54528,                 1.0873,                0.88567,                0.81357,                0.87849,                0.48767,                 1.4231,                 0.6463,                 1.2121,                0.00769,                0.00769,                0.00769
                     38,                 1.1243,                0.54427,                 1.0843,                0.89586,                0.81186,                0.87904,                 0.4877,                 1.4285,                0.64309,                 1.2159,               0.007624,               0.007624,               0.007624
                     39,                  1.114,                0.53669,                 1.0817,                 0.8985,                0.81783,                0.89395,                0.50401,                 1.4205,                0.62636,                 1.2103,               0.007558,               0.007558,               0.007558
                     40,                 1.1118,                0.53552,                 1.0811,                 0.8934,                0.80987,                0.88089,                0.48961,                 1.4346,                 0.6385,                 1.2237,               0.007492,               0.007492,               0.007492
                     41,                 1.1046,                0.53073,                 1.0696,                0.87284,                0.81558,                0.88096,                 0.4928,                 1.4409,                0.64755,                 1.2228,               0.007426,               0.007426,               0.007426
                     42,                 1.1007,                0.52844,                 1.0729,                0.89634,                0.80055,                0.87716,                0.48949,                 1.4233,                0.63916,                 1.2175,                0.00736,                0.00736,                0.00736
                     43,                 1.0948,                0.52493,                 1.0674,                0.89449,                0.81975,                0.89637,                0.50777,                 1.3893,                0.62169,                  1.202,               0.007294,               0.007294,               0.007294
                     44,                 1.0872,                 0.5176,                 1.0643,                 0.8808,                0.82509,                 0.8841,                0.50201,                 1.4083,                0.63474,                 1.2171,               0.007228,               0.007228,               0.007228
                     45,                 1.0839,                0.51823,                 1.0594,                0.88443,                0.81591,                0.88233,                0.49922,                 1.4193,                0.63931,                  1.224,               0.007162,               0.007162,               0.007162
                     46,                 1.0797,                0.51551,                 1.0621,                0.88715,                0.82466,                0.88655,                0.49756,                 1.4151,                0.62961,                 1.2168,               0.007096,               0.007096,               0.007096
                     47,                 1.0727,                0.51049,                 1.0567,                0.88756,                0.81783,                0.88377,                0.49529,                 1.4115,                0.62678,                 1.2224,                0.00703,                0.00703,                0.00703
                     48,                 1.0652,                0.50602,                 1.0563,                0.88067,                0.81122,                  0.884,                0.49508,                 1.4072,                0.64155,                 1.2252,               0.006964,               0.006964,               0.006964
                     49,                 1.0604,                0.50499,                 1.0508,                0.88526,                0.81741,                0.88059,                 0.4953,                 1.4094,                0.63216,                 1.2163,               0.006898,               0.006898,               0.006898
                     50,                 1.0546,                0.49971,                  1.052,                 0.8929,                0.81447,                0.89033,                0.49721,                 1.4173,                0.62585,                 1.2227,               0.006832,               0.006832,               0.006832
                     51,                 1.0565,                0.50032,                 1.0539,                 0.8824,                0.82914,                0.89458,                0.50245,                 1.4165,                 0.6164,                 1.2237,               0.006766,               0.006766,               0.006766
                     52,                  1.041,                0.49675,                 1.0478,                0.86693,                0.81229,                 0.8731,                0.48292,                 1.4318,                0.64617,                 1.2368,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.0432,                0.49213,                 1.0483,                0.89217,                0.82828,                0.89189,                0.50144,                  1.412,                0.61585,                 1.2142,               0.006634,               0.006634,               0.006634
                     54,                 1.0327,                0.48802,                 1.0403,                0.89216,                0.80828,                0.88378,                0.49822,                 1.4155,                0.63396,                 1.2274,               0.006568,               0.006568,               0.006568
                     55,                 1.0313,                 0.4848,                 1.0396,                0.88733,                0.81933,                0.88429,                0.50168,                 1.3961,                0.62689,                 1.2186,               0.006502,               0.006502,               0.006502
                     56,                 1.0362,                0.48689,                  1.041,                 0.8929,                0.80525,                0.87829,                0.50375,                 1.4019,                0.62651,                 1.2216,               0.006436,               0.006436,               0.006436
                     57,                 1.0259,                 0.4797,                 1.0395,                0.87857,                0.82466,                0.88205,                0.49094,                 1.4262,                0.62203,                 1.2327,                0.00637,                0.00637,                0.00637
                     58,                 1.0159,                 0.4791,                 1.0375,                0.89473,                0.81229,                  0.887,                0.49679,                 1.4395,                 0.6282,                 1.2463,               0.006304,               0.006304,               0.006304
                     59,                 1.0115,                0.47288,                 1.0353,                0.88973,                0.80845,                0.88103,                0.49124,                 1.4315,                0.62787,                 1.2467,               0.006238,               0.006238,               0.006238
                     60,                  1.007,                0.47234,                 1.0304,                 0.8931,                0.82693,                0.89068,                0.50114,                  1.427,                0.61351,                   1.24,               0.006172,               0.006172,               0.006172
                     61,                 1.0061,                0.46892,                 1.0259,                0.88879,                0.81484,                 0.8895,                 0.5041,                 1.4069,                0.61745,                 1.2324,               0.006106,               0.006106,               0.006106
                     62,                  1.007,                0.47188,                 1.0326,                0.88733,                0.81762,                0.88031,                0.50113,                 1.4128,                0.61886,                 1.2351,                0.00604,                0.00604,                0.00604
                     63,                0.99768,                 0.4652,                 1.0255,                0.87943,                0.82765,                0.88636,                0.51074,                 1.4082,                0.62501,                 1.2366,               0.005974,               0.005974,               0.005974
                     64,                0.99721,                 0.4673,                 1.0267,                 0.8804,                0.82748,                0.88523,                0.50497,                 1.4015,                0.61759,                 1.2268,               0.005908,               0.005908,               0.005908
                     65,                 0.9843,                0.46439,                 1.0173,                0.89374,                0.81452,                0.88513,                0.50202,                 1.4012,                0.61763,                 1.2357,               0.005842,               0.005842,               0.005842
                     66,                0.98268,                0.45685,                 1.0159,                0.89171,                0.82253,                0.88662,                0.50515,                 1.3977,                0.62058,                  1.235,               0.005776,               0.005776,               0.005776
                     67,                 0.9818,                0.45525,                 1.0193,                0.89448,                0.81997,                0.89325,                0.50873,                 1.4129,                0.62138,                 1.2449,                0.00571,                0.00571,                0.00571
                     68,                 0.9809,                0.45892,                 1.0182,                 0.8949,                0.81933,                0.88376,                0.50184,                 1.4087,                0.62229,                 1.2412,               0.005644,               0.005644,               0.005644
                     69,                0.96874,                0.45118,                 1.0126,                0.89874,                0.82355,                0.88981,                0.51481,                 1.4033,                0.62604,                 1.2386,               0.005578,               0.005578,               0.005578
                     70,                0.97584,                0.45046,                 1.0155,                0.89108,                0.82722,                0.89208,                0.50865,                 1.4054,                0.61167,                 1.2387,               0.005512,               0.005512,               0.005512
                     71,                0.96515,                0.45043,                 1.0113,                0.90372,                0.82359,                0.89333,                0.50902,                 1.4067,                0.62139,                 1.2421,               0.005446,               0.005446,               0.005446
                     72,                0.96341,                0.45364,                 1.0118,                  0.905,                0.82487,                0.88936,                0.50707,                 1.4068,                0.61766,                 1.2298,                0.00538,                0.00538,                0.00538
                     73,                0.95986,                0.44468,                 1.0073,                0.89737,                0.82125,                0.88957,                0.50783,                 1.4052,                0.61517,                 1.2498,               0.005314,               0.005314,               0.005314
                     74,                0.96141,                0.44729,                 1.0101,                0.88758,                0.82765,                0.88989,                0.50834,                 1.4086,                0.61997,                 1.2378,               0.005248,               0.005248,               0.005248
                     75,                0.95365,                0.44171,                 1.0088,                0.89088,                0.83246,                0.89121,                0.50846,                 1.3906,                0.61238,                  1.237,               0.005182,               0.005182,               0.005182
                     76,                0.94603,                0.44048,                 1.0036,                0.89853,                0.81975,                0.89002,                0.50876,                 1.4099,                0.61665,                 1.2355,               0.005116,               0.005116,               0.005116
                     77,                0.94451,                0.43922,                 1.0025,                  0.896,                  0.816,                0.88657,                0.51228,                 1.3913,                0.61749,                 1.2285,                0.00505,                0.00505,                0.00505
                     78,                0.94272,                0.43847,                      1,                0.89316,                 0.8167,                0.88272,                0.50554,                 1.4123,                0.62506,                 1.2454,               0.004984,               0.004984,               0.004984
                     79,                0.92879,                0.43087,                0.99566,                0.89428,                0.82338,                0.88785,                0.50604,                 1.4191,                0.62745,                 1.2544,               0.004918,               0.004918,               0.004918
                     80,                0.93366,                 0.4329,                0.99352,                0.89611,                0.82551,                0.89055,                0.50758,                 1.4042,                0.61529,                 1.2489,               0.004852,               0.004852,               0.004852
                     81,                0.92772,                0.43013,                 0.9961,                0.88846,                0.82409,                 0.8886,                 0.5078,                  1.402,                0.62296,                 1.2455,               0.004786,               0.004786,               0.004786
                     82,                0.92578,                0.42636,                 0.9956,                 0.8991,                0.80887,                0.88214,                0.50451,                 1.4106,                 0.6183,                 1.2573,                0.00472,                0.00472,                0.00472
                     83,                0.92198,                0.42523,                0.99197,                0.89324,                0.81919,                 0.8858,                0.50561,                 1.4052,                0.61279,                 1.2501,               0.004654,               0.004654,               0.004654
                     84,                0.92224,                0.42578,                0.99051,                0.88998,                0.81975,                0.88854,                0.50656,                 1.4113,                0.61646,                 1.2508,               0.004588,               0.004588,               0.004588
